skill,display-name,menu-code,description,phase,preceded-by,followed-by,required,output-location,outputs
afk:help,AFK Help,H,Orient the user in the AFK flow and recommend the next skill.,anytime,,,false,,
afk:ship,Ship,P,Run the AFK loop to evidence with planning when needed implementation cleanup QA and a final ship verdict.,0-4-flow,,afk:qa,false,conversation,phase route plus ship/no-ship verdict
afk:write-good-goal,Write Good Goal,O,Turn a vague objective into a concrete /goal condition with verification and bounds.,0-goal,,afk:grill,false,conversation,recommended /goal text
afk:grill,Grill,G,Interview and stress-test a non-trivial idea using repo context plus fetched docs or blogs when relevant.,1-plan,,afk:implement,true,docs/plans,docs/plans/<slug>.md
afk:implement,Implement,I,Read the code, fix architecture and contracts, then delegate independent TDD slices and review every diff.,2-build,afk:grill,afk:simplify,true,working tree,code changes and passing local verification
afk:batch,Batch,B,Fan an independently-mergeable plan out into many parallel worktree workers that each implement simplify test and open a PR.,2-build,afk:grill,afk:simplify,false,branches/PRs,one PR per unit plus a status table
afk:simplify,Simplify,S,Run a focused cleanup pass over the implementation diff for reuse simplification efficiency and altitude issues.,3-cleanup,afk:implement,afk:qa,false,working tree,simplification fixes or a no-change report
afk:qa,QA,Q,Route by project shape: dogfood-style browser QA for frontends and contract-level service QA for backends.,4-verify,afk:simplify,,false,qa,QA report plus screenshots or request-response evidence
afk:brain,Brain,M,Read or write the persistent brain/ memory vault of principles and codebase knowledge.,memory,,,false,brain/,brain notes and updated indexes
afk:init-brain,Init Brain,N,Scaffold the brain/ vault and index in a project for first use.,memory,,,false,brain/,brain/ folder and index.md
afk:reflect,Reflect,R,Persist learnings from the session into the brain after a run.,memory,,,false,brain/,brain notes plus a reflect summary
afk:ruminate,Ruminate,U,Mine past Claude Code conversations for uncaptured brain-worthy knowledge.,memory,,,false,brain/,table of findings plus approved brain updates
afk:meditate,Meditate,D,Audit and prune the brain vault and distill cross-cutting principles.,memory,,,false,brain/,pruned notes plus new principles and a meditate summary
afk:plan,Plan,L,Break a medium-to-large task into phased principle-grounded plans in brain/plans/.,memory,,,false,brain/plans,brain/plans/<slug> overview and phase files
afk:review,Review,V,Principle-grounded review of code or plans with numbered findings and a verdict.,memory,,,false,conversation,numbered findings plus accept or revise verdict
